"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","449","Test getting a book by a non-existing ID","","Wed Aug 20 14:01:32 UTC 2025","passed","Wed Aug 20 14:01:32 UTC 2025","","bookstore.books.GetBookTests","bookstore.books.GetBookTests","getBookByNonExistingId"
"","916","Update a book with null as page number","","Wed Aug 20 14:01:14 UTC 2025","passed","Wed Aug 20 14:01:15 UTC 2025","","bookstore.books.PutBookTests","bookstore.books.PutBookTests","updateBookWithNullPageNumber"
"","431","Delete a book with negative ID","","Wed Aug 20 14:01:21 UTC 2025","failed","Wed Aug 20 14:01:21 UTC 2025","","bookstore.books.DeleteBookTests","bookstore.books.DeleteBookTests","deleteBookWithNegativeId"
"","446","Test getting an author by a non-existing ID","","Wed Aug 20 14:01:35 UTC 2025","passed","Wed Aug 20 14:01:35 UTC 2025","","bookstore.authors.GetAuthorTests","bookstore.authors.GetAuthorTests","getAuthorByNonExistingId"
"","438","Test getting an author by null ID","","Wed Aug 20 14:01:37 UTC 2025","passed","Wed Aug 20 14:01:37 UTC 2025","","bookstore.authors.GetAuthorTests","bookstore.authors.GetAuthorTests","getAuthorByNullId"
"","453","Create a new book with null date","","Wed Aug 20 14:01:26 UTC 2025","passed","Wed Aug 20 14:01:26 UTC 2025","","bookstore.books.PostBookTests","bookstore.books.PostBookTests","createBookWithNullDate"
"","428","Test getting an author by special sign ID","","Wed Aug 20 14:01:42 UTC 2025","passed","Wed Aug 20 14:01:42 UTC 2025","","bookstore.authors.GetAuthorTests","bookstore.authors.GetAuthorTests","getAuthorBySpecialSign"
"","429","Test getting an author using an existing id but written with few more zeros upfront","","Wed Aug 20 14:01:38 UTC 2025","passed","Wed Aug 20 14:01:39 UTC 2025","","bookstore.authors.GetAuthorTests","bookstore.authors.GetAuthorTests","getAuthorByExistingIdAndExtraZeros"
"","933","Update book with empty description","","Wed Aug 20 14:01:18 UTC 2025","failed","Wed Aug 20 14:01:19 UTC 2025","","bookstore.books.PutBookTests","bookstore.books.PutBookTests","updateBookWithEmptyDescription"
"","1346","Update author with empty first name","","Wed Aug 20 14:01:51 UTC 2025","passed","Wed Aug 20 14:01:53 UTC 2025","","bookstore.authors.PutAuthorTests","bookstore.authors.PutAuthorTests","updateAuthorWithEmptyFirstName"
